1	барабанить	drum	84	0,89	2,16	344	2,85	1,81	1,10	4,50	2,7	4	9	1	off	on	on
2	бежать	run	92	0,59	2,24	118	4,53	1,24	1,03	4,14	143,6	2	5	1	off	off	off
3	бинтовать	bandage tr	47	2,21	2,77	239	3,09	2,24	1,18	4,66	0,7	3	8	2	off	on	on
4	бить	beat	57	1,49	2,66	400	3,48	1,34	1,12	4,09	107,5	1	4	2	off	off	off
5	блеять	bleat	88	0,8	1,75	168	2,86	2,47	1,84	4,57	1,3	2	6	1	off	off	off
6	болеть	be ill	91	0,59	2,12	124	4,37	1,66	1,23	3,17	68,5	3	7	1	off	off	off
7	бомбить	bomb	73	1,34	2,99	251	2,68	1,42	1,31	4,29	6,4	2	6	2	off	on	on
8	бороться	wrestle	82	1,01	2,96	246	3,31	2,36	1,62	4,26	70,3	3	6	1	on	off	off
9	бояться	be afraid	74	1,66	3,10	344	3,68	1,36	1,78	3,00	266,5	3	5	2	on	off	off
10	брить	shave tr	93	0,45	2,24	259	3,15	2,29	1,22	3,51	3,4	2	6	2	off	on	on
11	бриться	shave intr	98	0,14	1,92	208	3,96	1,23	1,26	3,03	5,5	3	7	1	on	on	on
12	буксовать	skid	54	2,53	3,04	556	2,93	3,02	1,54	4,38	1,7	3	8	1	off	off	off
13	варить	boil (cook by boiling)	48	1,64	2,44	321	4,69	3,07	1,63	1,99	29,3	2	5	2	off	on	off
14	вариться	be boiled (cooked by boiling)	73	1,41	2,28	252	4,63	1,67	1,49	4,07	3,7	3	7	1	on	off	off
15	вбегать	run into	70	1,56	2,89	440	4,16	1,96	1,27	4,60	2,8	3	8	1	off	off	off
16	везти	drag	47	1,97	3,03	208	3,83	1,72	1,52	3,61	47	2	5	2	off	on	off
17	вести	drive	54	1,93	3,09	298	4,28	2,73	1,13	4,82	280,3	2	5	2	off	off	off
18	вешать	hang tr	88	0,76	2,66	182	4,89	1,74	1,15	4,39	12	3	7	2	off	off	off
19	взвешивать	weight tr	90	0,56	3,13	288	3,21	2,22	1,24	4,25	4,3	4	11	2	off	on	on
20	взвешиваться	weight intr	97	0,24	2,54	209	4,13	2,55	1,12	4,67	0,4	5	12	1	on	on	on
21	взламывать	break open	89	0,74	2,81	205	2,61	3,14	1,42	4,14	1,2	4	11	2	off	on	off
22	взлетать	fly up	96	0,32	3,00	158	3,62	2,01	1,19	4,43	9,9	3	9	1	off	off	off
23	взрывать	blow up	85	0,84	3,17	287	2,45	2,62	1,42	4,11	5,1	3	9	2	off	on	off
24	висеть	hang intr	72	2,02	2,95	320	3,27	1,66	1,25	3,24	81,3	2	5	1	off	off	off
25	вить	nest	72	1,55	2,83	247	3,20	2,89	1,94	3,37	2,2	1	4	2	off	off	off
26	вспоминать	remember	37	3,07	3,37	307	4,46	2,01	2,06	3,31	135,9	4	11	2	off	off	off
27	вставать	get up	75	1,44	2,57	467	4,79	1,12	1,12	3,58	69,1	2	7	1	off	off	off
28	выбивать	beat out	89	0,75	3,08	282	3,03	2,26	1,52	4,29	7	4	9	2	off	on	on
29	выбрасывать	throw away	64	1,62	2,91	222	4,61	1,58	1,13	4,18	14,4	5	12	2	off	off	off
30	выгуливать	walk (a dog)	96	0,30	3,00	509	3,91	2,43	1,16	4,80	1,6	5	11	2	off	on	off
31	выдавливать	squeeze out	37	2,45	2,60	190	3,82	2,22	1,38	3,13	3,9	5	12	2	off	off	off
32	выезжать	drive out	90	0,67	3,17	505	3,81	2,29	1,66	3,78	19,5	4	9	1	off	off	off
33	выжимать	wring out	54	1,50	2,59	247	3,94	1,86	1,17	4,72	3,8	4	9	2	off	off	off
34	вылетать	fly out	98	0,14	2,24	311	2,89	1,86	1,24	4,42	10,2	4	9	1	off	off	off
35	выливать	pour out	82	1,04	2,55	215	4,17	1,69	1,12	4,47	2,5	4	9	2	off	off	off
36	выплывать	sail out	53	1,64	3,48	457	2,76	2,27	1,62	3,00	3,1	4	10	1	off	off	off
37	выползать	crawl out	76	1,50	2,88	403	2,80	1,80	1,24	4,01	4	4	10	1	off	off	off
38	выпрыгивать	jump out	88	0,74	2,64	354	3,05	2,03	1,32	3,45	2,5	5	12	1	off	off	off
39	вырезать	cut out	98	0,14	1,85	136	3,92	1,65	1,13	4,82	19,9	4	9	2	off	on	off
40	высиживать	hatch	86	0,9	2,54	238	2,98	2,44	1,35	4,74	0,9	5	11	2	off	off	off
41	высыпать	pour out (about dry substances)	72	1,54	2,68	487	4,11	1,81	1,16	4,23	7,7	4	9	2	off	off	off
42	вытирать	wipe tr	43	2,07	2,39	202	4,53	1,83	1,21	4,14	15,5	4	9	2	off	on	off
43	вытираться	wipe intr	87	0,71	2,28	186	4,66	1,59	1,14	4,61	0,8	5	10	1	on	on	off
44	выть	howl	94	0,46	2,36	125	3,02	2,08	1,42	4,55	12	2	5	1	off	off	off
45	выходить	walk out	79	1,06	2,96	504	4,70	1,47	1,12	4,39	201,6	3	7	1	off	off	off
46	вышивать	embroider	98	0,16	2,64	246	3,40	2,20	1,08	4,74	2,3	4	9	2	off	on	off
47	вязать	knit	99	0,08	2,41	247	3,46	2,00	1,12	4,53	8,5	2	5	2	off	on	off
48	вянуть	fade	39	2,36	2,23	345	3,42	2,12	1,24	4,66	1,5	2	5	1	off	off	off
49	гадать	tell fortunes	66	1,45	3,14	188	3,21	2,71	1,49	4,33	13,5	3	7	1	off	on	off
50	гладить	stroke	91	0,54	2,65	156	4,68	1,73	1,11	3,58	19,1	2	6	2	off	off	off
51	гладить	iron	97	0,22	2,42	170	4,43	1,50	1,12	4,32	19,1	2	6	2	off	on	off
52	гнаться	chase	35	2,39	2,49	313	3,11	1,94	1,21	4,10	5,9	3	6	2	on	off	off
53	гнуть	bend	65	1,36	2,17	196	2,54	1,91	1,35	4,45	5,6	1	4	2	off	off	off
54	голосовать	vote	79	1,36	3,68	312	3,53	3,35	1,56	3,32	22,8	4	9	1	off	off	off
55	гореть	burn	95	0,40	1,69	129	4,05	1,70	1,19	4,33	76,6	2	5	1	off	off	off
56	готовить	cook	88	0,76	3,57	366	4,77	1,71	1,40	4,53	76,7	3	7	2	off	on	off
57	грести	raw	84	0,79	2,60	147	3,02	2,60	1,30	4,51	5,7	2	6	1	off	on	off
58	греться	warm up	76	1,24	3,17	289	4,05	1,83	1,66	3,73	6,7	3	7	1	on	off	off
59	грузить	load	39	3,20	3,14	373	3,05	2,24	1,47	3,81	7,5	2	6	2	off	on	off
60	грустить	be sad	38	3,23	2,45	119	4,07	1,99	1,70	4,28	5	2	7	1	off	off	off
61	грызть	gnaw	71	1,63	2,63	203	3,62	1,76	1,19	2,91	10,4	2	6	2	off	off	off
62	гулять	walk intr	52	1,49	2,85	278	4,10	1,53	1,08	4,27	59,5	3	7	1	off	off	off
63	давать	give	36	2,3	2,25	185	4,53	1,93	1,61	2,71	370,7	2	5	3	off	off	off
64	давить	crush	47	3,08	3,26	285	2,52	1,92	1,68	1,96	24,6	2	5	2	off	off	off
65	дарить	give as a gift	88	0,84	2,15	328	4,26	1,50	1,21	4,58	22,3	2	5	3	off	off	off
66	двигать	move	57	1,77	2,86	210	3,70	1,61	1,51	4,22	14,3	3	8	2	off	off	off
67	дергать	pull	88	0,83	2,37	454	3,37	1,58	1,17	4,20	12,9	3	8	2	off	off	off
68	держать	hold	44	2,84	2,55	160	4,10	1,33	1,30	3,37	196,5	2	6	2	off	off	off
69	дирижировать	conduct	100	0	2,21	153	3,09	2,80	1,70	3,11	4,3	5	11	1	off	on	off
70	дирижировать	conduct	92	0,55	3,13	471	3,17	2,91	1,19	4,80	4,3	5	11	2	off	off	off
71	доить	milk	99	0,08	3,00	221	2,56	2,06	1,14	4,96	3,2	2	4	2	off	off	off
72	драться	fight	90	0,73	3,22	386	3,61	1,52	1,09	3,00	21,8	3	6	1	on	off	off
73	дудеть	blow (a music instrument)	63	1,74	1,95	207	3,01	1,91	1,26	4,72	0,9	2	5	1 / 2	off	on	on
74	думать	think	79	1,46	2,12	132	4,85	1,87	1,68	4,01	755,5	3	7	1	off	off	off
75	дуть	blow	76	1,03	2,55	129	4,31	1,49	1,11	4,04	18,9	2	5	1	off	off	off
76	душить	strangle	95	0,38	2,44	167	2,29	1,28	1,24	4,40	10	2	5	2	off	on	off
77	душить	strangle	85	1,16	2,62	209	2,39	2,42	1,18	4,45	10	2	5	2	off	off	off
78	душиться	use perfume	71	1,77	2,39	185	4,48	2,67	1,39	4,65	0,5	3	6	1	on	on	on
79	есть	eat	84	0,86	2,43	176	4,84	1,09	1,30	3,99	94,7	1	4	2	off	on	off
80	есть	eat	71	1,92	2,50	128	4,13	1,07	1,00	2,88	94,7	1	4	2	off	off	off
81	ехать	ride	45	2,19	2,68	231	3,46	1,21	1,15	3,49	198,2	2	5	1	off	on	off
82	жалить	sting	80	1,21	2,30	139	3,62	2,05	1,22	4,83	2,1	2	5	2	off	off	off
83	жарить	roast	84	0,84	2,99	236	3,85	1,95	1,16	3,06	8,8	2	5	2	off	on	off
84	ждать	wait	79	0,91	2,94	270	4,72	1,79	1,62	3,39	360,2	1	4	2	off	off	off
85	жениться	get married	76	1,52	3,09	270	3,42	2,11	1,55	4,66	50	3	6	1	on	off	off
86	жонглировать	juggle	96	0,28	2,49	205	2,78	2,48	1,11	4,75	1,4	4	11	2	off	off	off
87	забивать	hammer in	79	1,33	2,96	285	3,44	2,28	1,28	4,60	8,7	4	9	2	off	on	off
88	заводить	wind up	95	0,38	2,09	192	3,44	2,10	1,69	3,67	17,1	3	7	2	off	on	off
89	завязывать	tie	93	0,41	2,91	246	4,14	1,67	1,10	2,99	4,9	5	11	2	off	on	off
90	завязывать	tie up	95	0,36	2,65	208	2,93	1,45	1,22	2,49	4,9	5	11	2	off	off	off
91	загорать	sunbathe	94	0,43	2,49	223	4,22	2,24	1,18	4,54	5,9	4	9	1	off	off	off
93	зажигать	light tr	93	0,45	3,56	267	3,64	1,79	1,32	3,41	9,2	4	9	2	off	on	on
94	заклеивать	seal up	83	0,98	2,69	459	3,74	2,06	1,17	3,71	1	5	11	2	off	on	off
95	заколачивать	board up	89	0,70	2,89	606	2,45	2,26	1,29	4,09	1	6	13	2	off	on	off
96	закрашивать	paint over	68	1,54	3,15	546	3,22	1,66	1,11	3,34	0,4	5	12	2	off	on	off
97	закрывать	close	91	0,68	2,53	234	4,70	1,38	1,21	3,79	36,4	4	10	2	off	off	off
100	заправлять	fill up	85	0,71	3,10	272	3,93	2,22	1,32	2,56	4,1	4	11	2	off	on	off
101	запрыгивать	jump in	77	1,22	2,57	383	2,90	1,84	1,29	3,10	0,5	5	12	1	off	off	off
102	заряжать	load	87	0,87	2,58	291	2,70	1,33	1,10	4,08	3,6	4	9	2	off	off	off
103	застегивать	buckle	59	1,8	2,39	179	3,70	1,32	1,12	2,82	3	5	12	2	off	off	off
104	затыкать	plug	58	2,57	2,34	163	3,55	2,33	1,39	2,85	3	4	9	2	off	off	off
105	затыкать	plug	51	2,2	3,64	434	2,76	2,26	1,66	2,96	3	4	9	2	off	on	off
106	звать	call	39	2,16	2,79	272	3,58	1,27	1,29	4,17	131,3	2	5	2	off	off	off
107	звонить	ring	97	0,22	2,12	135	4,68	2,95	1,73	2,81	115,4	2	6	1	off	on	on
108	здороваться	greet	56	1,85	2,29	220	4,67	1,49	1,21	4,48	12,1	5	11	1	on	off	off
109	зевать	yawn	91	0,67	1,93	141	4,81	1,76	1,03	4,91	7,5	3	7	1	off	off	off
110	злиться	be angry	81	0,96	2,59	213	4,31	1,86	1,52	4,45	14,9	2	5	1	on	off	off
111	играть	play	90	0,63	2,99	208	4,17	1,13	1,12	4,67	319,1	3	7	1	off	on	on
112	идти	walk	59	1,52	2,47	159	4,39	2,23	1,18	4,77	957,1	2	4	1	off	off	off
113	извергаться	erupt	81	1,15	2,72	254	2,61	3,08	1,61	4,62	0,5	5	11	1	on	off	off
114	измерять	measure	82	1,11	2,91	295	3,64	2,50	1,37	4,27	9,2	4	9	2	off	on	off
115	искать	look for	80	1,31	3,23	314	2,73	1,45	1,40	2,00	206,9	2	4	2	off	on	on
116	искрить	spark	28	3,52	2,73	239	2,96	1,50	1,14	4,32	0,7	2	6	1	off	off	off
117	капать	drip	94	0,41	2,09	203	4,34	1,65	1,18	3,74	8,7	3	7	1	off	off	off
118	каркать	caw	86	0,83	2,75	299	3,91	1,67	1,11	4,87	2	3	8	1	off	off	off
119	катать	trundle	29	2,65	2,95	282	3,84	1,53	1,24	3,68	6,8	3	7	2	off	on	off
120	катить	roll tr	95	0,40	2,70	290	3,08	1,74	1,20	3,72	7,6	2	5	2	off	off	off
121	катиться	roll intr	65	1,44	1,96	156	3,25	2,02	1,31	4,18	15,4	3	6	1	on	off	off
122	качаться	swing	83	0,91	2,44	248	4,23	1,39	1,24	4,59	14	4	8	1	on	on	on
123	кашлять	caugh	63	1,17	3,20	255	4,53	1,60	1,11	4,46	7,6	3	8	1	off	off	off
124	квакать	croak	92	0,64	2,38	201	3,06	1,40	1,19	4,88	0,8	3	8	1	off	off	off
125	кипеть	boil	93	0,52	2,59	238	4,62	2,05	1,24	4,65	18,9	2	5	1	off	off	off
126	кланяться	bow	91	0,68	2,21	159	3,39	2,27	1,17	4,36	10,8	4	9	1	on	off	off
127	клевать	peck	77	1,36	2,84	176	2,52	1,86	1,15	3,02	6,7	2	6	2	off	off	off
128	клеить	glue	86	0,93	2,91	275	3,97	1,94	1,29	3,13	3,3	2	5	2	off	on	on
129	ковать	forge	87	0,87	3,35	325	2,00	2,66	1,71	4,44	2,8	2	5	2	off	on	off
130	ковырять	pick (one's nose)	69	1,33	1,94	93,3	3,98	1,79	1,23	4,17	3,9	4	9	2	off	off	off
131	колоть	chop	63	1,06	2,68	183	3,14	1,81	1,36	3,05	9,2	2	5	2	off	on	off
132	копать	dig	78	0,76	2,64	291	3,75	1,43	1,02	4,78	13,2	3	7	2	off	on	off
133	кормить	feed	90	0,71	3,04	266	3,95	1,42	1,15	4,25	52	2	6	2	off	off	off
134	кормить	feed	97	0,24	2,60	257	3,85	1,24	1,05	4,22	52	2	6	2	off	on	off
135	косить	mow	97	0,24	2,82	385	3,13	2,55	1,19	4,65	10,6	2	5	2	off	on	on
136	красить	paint	95	0,35	2,91	464	3,87	1,44	1,07	4,61	10,9	2	6	2	off	on	off
137	краситься	put make up on	71	1,71	2,79	241	3,85	2,54	1,15	4,87	2,2	3	7	1	on	on	off
138	кривляться	wriggle	30	2,90	2,46	168	3,44	1,79	1,35	4,34	2,2	4	10	1	on	off	off
139	крутить	twist	58	2,33	2,48	158	3,53	1,94	1,74	2,77	26,8	2	6	2	off	off	off
140	крякать	quack	90	0,72	2,20	156	2,87	1,42	1,43	4,84	1,4	3	8	1	off	off	off
141	кукарекать	crow	81	1,01	2,65	326	3,42	1,63	1,05	4,83	0,7	5	11	1	off	off	off
142	купать	bathe tr	75	0,99	2,70	240	3,69	1,46	1,19	4,77	2,3	3	7	2	off	on	off
144	курить	smoke	97	0,24	1,88	133	4,35	2,17	1,05	4,78	65,5	2	5	2	off	off	off
145	кусать	bite	60	2,21	2,99	266	3,27	1,26	1,07	3,81	8,5	3	7	2	off	off	off
146	лаять	bark	66	1,57	2,36	174	3,74	1,26	1,17	4,77	7,1	2	5	1	off	off	off
147	лепить	sculpt	91	0,68	3,01	240	4,14	1,13	1,04	4,30	8,2	2	5	2	off	off	off
148	лететь	fly	80	1,21	1,88	208	2,97	1,24	1,07	3,15	82,9	2	5	1	off	on	off
149	лететь	fly	78	1,03	1,79	110	3,77	1,37	1,15	4,25	82,9	2	5	1	off	off	off
150	лечить	treat	72	1,66	3,31	330	4,01	1,74	1,41	3,69	30,6	2	5	2	off	on	off
151	ловить	catch	75	1,39	2,44	148	3,84	1,51	1,32	3,65	48	2	5	2	off	off	off
152	ловить	catch	98	0,16	2,40	130	2,79	1,47	1,35	3,38	48	2	5	2	off	on	off
153	ломать	break	34	2,53	3,31	407	2,98	1,29	1,15	2,71	28,2	3	7	2	off	on	off
154	ломать	break	47	1,7	2,00	200	4,05	1,13	1,19	3,46	28,2	3	7	2	off	off	off
155	любить	love	61	2,65	2,34	194	4,28	1,63	2,57	3,30	503,1	2	5	2	off	off	off
156	макать	dip	73	1,66	2,28	139	3,80	1,13	1,23	2,24	1,7	3	7	3	off	off	off
157	маршировать	march	96	0,27	3,34	373	3,26	1,44	1,20	4,14	3,1	4	10	1	off	off	off
158	махать	wave	72	1,65	1,86	109	4,39	1,55	1,17	2,93	22,2	2	5	2	off	off	off
159	махать	wave	59	1,57	2,30	175	3,24	1,58	1,18	2,68	22,2	2	5	2	off	off	off
160	мерзнуть	freeze intr	63	2,1	3,26	237	3,80	1,72	1,23	3,82	6,6	2	7	1	off	off	off
161	месить	knead	72	1,73	2,93	203	3,52	2,15	1,30	4,61	1,9	2	5	2	off	off	off
162	мечтать	dream	90	0,60	3,38	217	4,56	2,19	2,00	3,28	72,4	3	8	2	off	off	off
163	мешать	stir	47	2,45	2,45	206	3,49	1,74	1,53	3,24	100,4	3	7	2	off	on	off
164	мокнуть	get wet	91	0,68	2,93	193	4,11	1,99	1,30	4,37	2,3	2	6	1	off	off	off
165	молиться	pray	94	0,4	2,28	203	3,82	1,15	1,32	3,32	38	3	6	1	on	off	off
166	морщиться	wrinkle	40	2,08	3,07	398	4,09	2,06	1,22	4,52	9,8	3	7	1	on	off	off
167	мыть	wash tr	96	0,32	2,73	234	4,77	1,39	1,09	4,09	28,8	2	5	2	off	on	off
168	мыть	wash tr	89	0,7	2,13	198	4,62	1,21	1,07	3,58	28,8	2	5	2	off	on	off
169	мыться	wash intr	91	0,61	3,02	357	4,84	1,17	1,06	4,67	8,3	3	6	1	on	on	off
170	мычать	moo	95	0,38	2,37	205	3,19	1,52	1,15	4,87	5,9	2	5	1	off	off	off
171	мять	rumple	50	2,51	3,36	240	2,41	1,74	1,62	3,75	4,7	1	4	2	off	off	off
172	мяукать	mew	74	1,47	2,08	189	4,39	1,24	1,10	4,56	1,8	4	8	1	off	off	off
173	надевать	put on	56	1,42	2,85	164	4,68	1,21	1,16	4,36	22,5	4	9	2	on	off	off
174	надувать	inflate	99	0,08	1,82	194	3,86	1,74	1,20	2,17	3	4	9	2	off	off	off
175	накрывать	cover	50	1,89	2,86	190	3,77	1,95	1,43	4,15	6,5	4	10	2	off	on	off
176	наливать	pour	68	1,61	2,55	202	4,04	1,39	1,08	4,23	14,6	4	9	2	off	on	off
177	намазывать	spread	64	1,01	2,89	264	4,17	1,56	1,17	4,85	0,9	5	11	3	off	on	off
178	нанизывать	string	76	1,43	2,48	398	3,44	2,47	1,22	4,74	1	5	11	2	off	off	off
179	наряжать	decorate	82	0,84	2,65	293	4,34	2,48	1,33	4,02	1,5	4	9	2	off	on	off
180	настраивать	tune up	89	0,77	3,29	589	3,51	2,80	1,50	3,39	5,7	5	12	2	off	on	off
181	наступать	step over	81	1,38	2,62	375	3,02	1,57	1,15	3,19	44	4	10	2	off	off	off
182	нести	carry	94	0,4	2,02	172	4,34	1,28	1,19	3,98	120,6	2	5	2	off	off	off
183	нырять	dive	86	0,83	2,89	189	3,46	2,09	1,13	4,57	8,7	3	7	1	off	off	off
184	нюхать	smell	97	0,24	2,22	225	4,56	1,62	1,12	4,21	6,6	3	7	2	off	off	off
185	обливать	pour over	82	1,19	2,60	257	3,26	1,93	1,27	4,37	2,3	4	9	2	off	on	off
186	обливаться	pour over oneself	77	1,27	2,10	177	3,06	1,98	1,26	4,51	4,8	5	10	1	on	on	off
187	облизывать	lick	42	2,11	2,77	286	3,48	1,60	1,14	3,67	2,9	5	11	2	off	off	off
188	обмахиваться	fan oneself	76	1,10	2,53	448	3,45	2,46	1,28	4,67	0,8	6	12	2	on	on	off
189	обнимать	hug	94	0,41	2,39	264	4,59	1,82	1,12	4,68	20,2	4	9	2	off	off	off
190	обниматься	hug each other	63	1,55	2,51	240	4,60	1,92	1,19	2,11	4,9	5	10	1	on	off	off
191	обувать	help put shoes on	67	1,68	2,60	209	4,07	1,34	1,07	4,37	0,8	4	8	2	off	off	off
192	обуваться	put shoes on	69	1,49	2,07	192	4,89	1,37	1,09	4,70	0,7	5	9	1	on	off	off
193	обыскивать	search	84	1,16	3,22	226	2,43	3,05	1,57	4,30	2,7	5	11	2	off	off	off
